entry_num,timestamp,source_url,selected,num_heroes
0,1756478332.780749,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",44
1,1756478333.0287516,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",44
2,1756478333.2937493,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Europe&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Europe', 'tier': 'All'}",44
3,1756478333.5607517,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=PC&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'PC', 'region': 'Americas', 'tier': 'All'}",44
4,1756478333.8179717,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=PC&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'PC', 'region': 'Asia', 'tier': 'All'}",44
5,1756478334.0800912,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=PC&region=Europe&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'PC', 'region': 'Europe', 'tier': 'All'}",44
6,1756478334.3373904,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=1&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '1', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",44
7,1756478334.6031494,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=1&input=Console&region=Americas&tier=Bronze,"{'map': 'all-maps', 'role': 'All', 'rq': '1', 'input': 'Console', 'region': 'Americas', 'tier': 'Bronze'}",44
8,1756478334.8623593,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=1&input=Console&region=Americas&tier=Silver,"{'map': 'all-maps', 'role': 'All', 'rq': '1', 'input': 'Console', 'region': 'Americas', 'tier': 'Silver'}",44
9,1756478335.1237788,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=1&input=Console&region=Americas&tier=Gold,"{'map': 'all-maps', 'role': 'All', 'rq': '1', 'input': 'Console', 'region': 'Americas', 'tier': 'Gold'}",44
