entry_num,timestamp,source_url,selected,selected_role,selected_rank,selected_region,selected_platform,selected_gamemode,hero_id,hero_name,pickrate,winrate,role,pull_datetime_utc,pull_date
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,ana,Ana,14.5,44.4,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,ashe,Ashe,16.7,50.4,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,baptiste,Baptiste,5.7,47.6,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,bastion,Bastion,12.3,49.7,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,brigitte,Brigitte,4.9,52.3,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,cassidy,Cassidy,28.6,48.4,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,dva,D.Va,18.8,49.9,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,doomfist,Doomfist,7.3,51.8,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,echo,Echo,6.4,48.2,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,freja,Freja,6.1,42.5,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
